rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
35,266,Fluminense,285,Internacional,,,270261,,,True
35,275,Palmeiras,282,Atlético-MG,,,270262,,,True
35,277,Santos,356,Fortaleza,,,270263,,,True
35,327,América-MG,315,Chapecoense,,,270264,,,True
35,284,Grêmio,276,São Paulo,,,270265,,,True
35,354,Ceará,264,Corinthians,,,270266,,,True
35,292,Sport,262,Flamengo,,,270267,,,True
35,293,Athletico-PR,1371,Cuiabá,,,270268,,,True
35,286,Juventude,280,Bragantino,,,270269,,,True
35,373,Atlético-GO,265,Bahia,,,270270,,,True
35,285,Internacional,266,Fluminense,,,270261,,,False
35,282,Atlético-MG,275,Palmeiras,,,270262,,,False
35,356,Fortaleza,277,Santos,,,270263,,,False
35,315,Chapecoense,327,América-MG,,,270264,,,False
35,276,São Paulo,284,Grêmio,,,270265,,,False
35,264,Corinthians,354,Ceará,,,270266,,,False
35,262,Flamengo,292,Sport,,,270267,,,False
35,1371,Cuiabá,293,Athletico-PR,,,270268,,,False
35,280,Bragantino,286,Juventude,,,270269,,,False
35,265,Bahia,373,Atlético-GO,,,270270,,,False
