rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
13,Zaracho,100079,4,282,True,3.6,0,2,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
13,Igor Gomes,100084,4,276,True,1.3,0,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
13,Yuri Alberto,100652,5,285,True,0.9,1,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Atacante,ata
13,Guilherme Guedes,100741,2,284,True,9.2,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Grêmio,Lateral,lat
13,Liziero,100761,4,276,True,2.8,0,3,2,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
13,Gabriel Sara,100763,4,276,True,1.2,0,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
13,Ruan,100842,3,284,True,8.9,0,7,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
13,Lucas Araújo,100844,4,265,True,1.5,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
13,Conti,100943,3,265,True,0.6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Zagueiro,zag
13,Ronald,100969,4,356,True,0.9,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
13,Felipe Marques,101054,5,1371,True,-0.4,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
13,Umberto Louzer,101077,6,292,True,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
13,Ademir,101314,5,327,True,0.1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
