rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
4,Pedrinho,100103,5,280,True,0.8,0,1,2,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
4,Paulinho Bóia,100333,5,286,True,2.3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
4,Yuri Alberto,100652,5,285,True,1.8,1,4,3,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Atacante,ata
4,Matheus Henrique,100742,4,284,True,-0.4,1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Meia,mei
4,Liziero,100761,4,276,True,-1.4,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
4,Gabriel Sara,100763,4,276,True,5.1,0,3,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
4,Lucas Araújo,100844,4,265,True,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
4,Hélio,101051,5,354,True,-0.9,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceará,Atacante,ata
4,Umberto Louzer,101077,6,292,True,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
4,Ferreira,101290,5,284,True,5.0,0,3,0,2,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Atacante,ata
4,Ademir,101314,5,327,True,3.3,0,0,1,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
4,Guga,101319,2,282,True,14.7,0,10,1,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Lateral,lat
4,Bruno Silva,101422,5,315,True,-1.6,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
4,Danilo Boza,101431,3,277,True,-0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Zagueiro,zag
4,Thonny Anderson,101484,4,265,True,2.5,1,5,3,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
4,Pepê,101573,4,1371,True,3.3,0,5,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
4,Léo Gomes,101585,4,315,True,2.3,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Meia,mei
4,Luiz Henrique,101595,4,356,True,-0.8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
4,Felipe Jonatan,101708,2,277,True,2.2,0,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Lateral,lat
4,Bruninho,101716,4,286,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
4,Marrony,101717,5,282,True,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Atacante,ata
4,Guilherme Castilho,101798,4,286,True,3.4,0,1,0,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
4,Marquinhos,102292,5,292,True,-0.2,0,0,3,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Atacante,ata
4,Rafael Elias,102302,5,1371,True,2.4,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
4,Caio Paulista,102318,5,266,True,1.5,1,0,1,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Atacante,ata
4,Alyson,102330,2,286,True,-0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Lateral,lat
4,Araos,102352,4,264,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
4,Kaio,102563,5,315,True,11.0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chapecoense,Atacante,ata
4,Helinho,102598,5,280,True,1.0,0,1,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
4,Sabino,102905,4,327,True,1.9,0,2,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
4,Matheus Teixeira,102907,1,265,True,-1.0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Bahia,Goleiro,gol
4,Éderson,103099,4,356,True,4.3,0,3,1,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
4,Eric Ramires,103295,4,280,True,8.9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bragantino,Meia,mei
4,Kaio Jorge,103445,5,277,True,3.5,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Atacante,ata
4,Ramon,103515,4,327,True,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
4,Ignácio,103523,3,315,True,0.7,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Zagueiro,zag
