,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,20,327,América-MG,293,Athletico-PR,,,270525,2021-09-11T16:00,16:00,True
1,20,286,Juventude,1371,Cuiabá,,,270530,2021-09-11T17:00,17:00,True
2,20,280,Bragantino,315,Chapecoense,,,270529,2021-09-11T19:00,19:00,True
3,20,277,Santos,265,Bahia,,,270524,2021-09-11T21:00,21:00,True
4,20,284,Grêmio,354,Ceará,,,270526,2021-09-12T11:00,11:00,True
5,20,275,Palmeiras,262,Flamengo,,,270523,2021-09-12T16:00,16:00,True
6,20,356,Fortaleza,282,Atlético-MG,,,270527,2021-09-12T16:00,16:00,True
7,20,373,Atlético-GO,264,Corinthians,,,270531,2021-09-12T18:15,18:15,True
8,20,266,Fluminense,276,São Paulo,,,270522,2021-09-12T20:30,20:30,True
9,20,292,Sport,285,Internacional,,,270528,2021-09-13T20:00,20:00,True
10,20,293,Athletico-PR,327,América-MG,,,270525,2021-09-11T16:00,16:00,False
11,20,1371,Cuiabá,286,Juventude,,,270530,2021-09-11T17:00,17:00,False
12,20,315,Chapecoense,280,Bragantino,,,270529,2021-09-11T19:00,19:00,False
13,20,265,Bahia,277,Santos,,,270524,2021-09-11T21:00,21:00,False
14,20,354,Ceará,284,Grêmio,,,270526,2021-09-12T11:00,11:00,False
15,20,262,Flamengo,275,Palmeiras,,,270523,2021-09-12T16:00,16:00,False
16,20,282,Atlético-MG,356,Fortaleza,,,270527,2021-09-12T16:00,16:00,False
17,20,264,Corinthians,373,Atlético-GO,,,270531,2021-09-12T18:15,18:15,False
18,20,276,São Paulo,266,Fluminense,,,270522,2021-09-12T20:30,20:30,False
19,20,285,Internacional,292,Sport,,,270528,2021-09-13T20:00,20:00,False
