rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
13,284,Grêmio,327,América-MG,1,1,270375,2021-07-24T17:00,17:00,True
13,275,Palmeiras,266,Fluminense,1,0,270372,2021-07-24T19:00,19:00,True
13,282,Atlético-MG,265,Bahia,3,0,270374,2021-07-25T11:00,11:00,True
13,356,Fortaleza,280,Bragantino,1,0,270378,2021-07-25T16:00,16:00,True
13,262,Flamengo,276,São Paulo,5,1,270391,2021-07-25T16:00,16:00,True
13,277,Santos,373,Atlético-GO,0,1,270373,2021-07-25T18:15,18:15,True
13,293,Athletico-PR,285,Internacional,2,1,270376,2021-07-25T18:15,18:15,True
13,292,Sport,354,Ceará,0,0,270379,2021-07-25T20:30,20:30,True
13,286,Juventude,315,Chapecoense,1,0,270380,2021-07-26T18:00,18:00,True
13,1371,Cuiabá,264,Corinthians,1,2,270377,2021-07-26T20:00,20:00,True
13,327,América-MG,284,Grêmio,1,1,270375,2021-07-24T17:00,17:00,False
13,266,Fluminense,275,Palmeiras,0,1,270372,2021-07-24T19:00,19:00,False
13,265,Bahia,282,Atlético-MG,0,3,270374,2021-07-25T11:00,11:00,False
13,280,Bragantino,356,Fortaleza,0,1,270378,2021-07-25T16:00,16:00,False
13,276,São Paulo,262,Flamengo,1,5,270391,2021-07-25T16:00,16:00,False
13,373,Atlético-GO,277,Santos,1,0,270373,2021-07-25T18:15,18:15,False
13,285,Internacional,293,Athletico-PR,1,2,270376,2021-07-25T18:15,18:15,False
13,354,Ceará,292,Sport,0,0,270379,2021-07-25T20:30,20:30,False
13,315,Chapecoense,286,Juventude,0,1,270380,2021-07-26T18:00,18:00,False
13,264,Corinthians,1371,Cuiabá,2,1,270377,2021-07-26T20:00,20:00,False
