rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
7,286,Juventude,262,Flamengo,1,0,270237,2021-06-27T11:00,11:00,True
7,266,Fluminense,264,Corinthians,1,1,270231,2021-06-27T16:00,16:00,True
7,275,Palmeiras,265,Bahia,3,2,270232,2021-06-27T20:00,20:00,True
7,284,Grêmio,356,Fortaleza,0,0,270235,2021-06-27T20:00,20:00,True
7,293,Athletico-PR,315,Chapecoense,2,2,270239,2021-06-27T20:00,20:00,True
7,277,Santos,282,Atlético-MG,2,0,270233,2021-06-27T20:30,20:30,True
7,327,América-MG,285,Internacional,1,1,270234,2021-06-27T20:30,20:30,True
7,354,Ceará,276,São Paulo,1,1,270236,2021-06-27T20:30,20:30,True
7,292,Sport,1371,Cuiabá,0,0,270238,2021-06-27T20:30,20:30,True
7,373,Atlético-GO,280,Bragantino,0,1,270240,2021-06-28T20:00,20:00,True
7,262,Flamengo,286,Juventude,0,1,270237,2021-06-27T11:00,11:00,False
7,264,Corinthians,266,Fluminense,1,1,270231,2021-06-27T16:00,16:00,False
7,265,Bahia,275,Palmeiras,2,3,270232,2021-06-27T20:00,20:00,False
7,356,Fortaleza,284,Grêmio,0,0,270235,2021-06-27T20:00,20:00,False
7,315,Chapecoense,293,Athletico-PR,2,2,270239,2021-06-27T20:00,20:00,False
7,282,Atlético-MG,277,Santos,0,2,270233,2021-06-27T20:30,20:30,False
7,285,Internacional,327,América-MG,1,1,270234,2021-06-27T20:30,20:30,False
7,276,São Paulo,354,Ceará,1,1,270236,2021-06-27T20:30,20:30,False
7,1371,Cuiabá,292,Sport,0,0,270238,2021-06-27T20:30,20:30,False
7,280,Bragantino,373,Atlético-GO,1,0,270240,2021-06-28T20:00,20:00,False
