rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
10,Zaracho,100079,4,282,True,0.5,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
10,Igor Gomes,100084,4,276,True,7.8,1,3,4,4,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,São Paulo,Meia,mei
10,Pedrinho,100103,5,280,True,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
10,Paulinho Bóia,100333,5,286,True,0.8,1,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
10,Yuri Alberto,100652,5,285,True,0.6,0,0,3,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Atacante,ata
10,Matheus Henrique,100742,4,284,True,-1.1,1,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Meia,mei
10,Liziero,100761,4,276,True,2.8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
10,Brenno,100830,1,284,True,2.0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,Grêmio,Goleiro,gol
10,Ruan,100842,3,284,True,2.8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
10,Lucas Araújo,100844,4,265,True,-0.6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
10,Ronald,100969,4,356,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
10,Felipe Marques,101054,5,1371,True,4.1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
10,Umberto Louzer,101077,6,292,True,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
10,Ferreira,101290,5,284,True,4.7,0,2,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Atacante,ata
10,Thonny Anderson,101484,4,265,True,5.9,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
10,Pepê,101573,4,1371,True,6.9,1,6,2,4,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
10,Hugo Moura,101594,4,262,True,3.1,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,Meia,mei
10,Alerrandro,101715,5,280,True,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
