,rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,FC,FS,PI,FF,A,DS,DE,GS,FD,SG,CA,FT,G,PC,PS,PP,I,DP,clube_nome,posicao_nome,posicao_abreviacao
0,17,Zaracho,100079,4,282,True,1.3,2,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
1,17,Igor Gomes,100084,4,276,True,0.4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
2,17,Paulinho Bóia,100333,5,286,True,1.7,1,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Juventude,Atacante,ata
3,17,Yuri Alberto,100652,5,285,True,12.6,0,3,7,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,Internacional,Atacante,ata
4,17,Liziero,100761,4,276,True,-1.6,1,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,São Paulo,Meia,mei
5,17,Bissoli,100762,5,293,True,-0.1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
6,17,Ruan,100842,3,284,True,8.2,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
7,17,Luan Cândido,100848,2,280,True,5.2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Bragantino,Lateral,lat
8,17,Conti,100943,3,265,True,1.5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Zagueiro,zag
9,17,Nonato,100987,4,266,True,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Meia,mei
10,17,Umberto Louzer,101077,6,292,True,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
11,17,Ademir,101314,5,327,True,2.6,2,5,14,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,América-MG,Atacante,ata
12,17,Guga,101319,2,282,True,5.4,1,2,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Lateral,lat
13,17,Bruno Silva,101422,5,315,True,1.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Chapecoense,Atacante,ata
14,17,Isaque,101483,5,327,True,-0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
15,17,Pepê,101573,4,1371,True,-2.9,4,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Cuiabá,Meia,mei
16,17,Luiz Henrique,101595,4,356,True,2.1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
17,17,Felipe Jonatan,101708,2,277,True,0.6,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Lateral,lat
18,17,Alerrandro,101715,5,280,True,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bragantino,Atacante,ata
19,17,Bruninho,101716,4,286,True,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
20,17,Matheuzinho,101727,2,262,True,4.5,1,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,Lateral,lat
