rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
14,Zaracho,100079,4,282,True,3.2,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
14,Igor Gomes,100084,4,276,True,1.2,0,2,3,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
14,Pinares,100107,4,284,True,-0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Meia,mei
14,Guilherme Guedes,100741,2,284,True,1.2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Lateral,lat
14,Liziero,100761,4,276,True,4.8,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
14,Gabriel Sara,100763,4,276,True,1.1,1,2,1,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
14,Ruan,100842,3,284,True,-0.2,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,Zagueiro,zag
14,Conti,100943,3,265,True,0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Zagueiro,zag
14,Felipe Marques,101054,5,1371,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
14,Umberto Louzer,101077,6,292,True,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
14,Ademir,101314,5,327,True,9.9,0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,América-MG,Atacante,ata
14,Chrigor,101398,5,327,True,3.1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,América-MG,Atacante,ata
14,Pepê,101573,4,1371,True,2.2,0,2,5,4,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
14,Léo Gomes,101585,4,315,True,-0.6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Meia,mei
14,Luiz Henrique,101595,4,356,True,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
14,Felipe Jonatan,101708,2,277,True,6.1,0,1,0,1,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Santos,Lateral,lat
14,Alerrandro,101715,5,280,True,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
14,Matheuzinho,101727,2,262,True,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,Lateral,lat
14,Fabinho,101729,5,315,True,2.0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
14,Toró,101885,5,373,True,-1.3,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Atacante,ata
14,Xavier,102067,4,264,True,-0.1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
14,Marquinhos,102292,5,264,True,0.8,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Atacante,ata
14,Mikael,102299,5,292,True,5.5,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sport,Atacante,ata
14,Rafael Elias,102302,5,1371,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
14,Araos,102352,4,264,True,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
14,Kelvyn,102464,2,354,True,8.3,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Ceará,Lateral,lat
14,Helinho,102598,5,280,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Atacante,ata
14,Terans,102878,4,293,True,2.4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Athlético-PR,Meia,mei
14,Éderson,103099,4,356,True,6.4,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
14,Eric Ramires,103295,4,280,True,-0.4,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Meia,mei
14,Ramon,103515,4,327,True,1.8,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
14,Jadsom Silva,103695,4,280,True,-0.9,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Meia,mei
14,Bruno Méndez,103700,3,285,True,5.7,0,3,2,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Internacional,Zagueiro,zag
14,Neto,103706,4,282,True,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Atlético-MG,Meia,mei
14,Gabriel Veron,103764,5,275,True,-1.3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,Atacante,ata
14,Hernán Crespo,103912,6,276,True,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Técnico,tec
14,Sabino,104075,3,292,True,4.4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sport,Zagueiro,zag
