,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,8,266,Fluminense,293,Athletico-PR,1,4,270252,2021-06-30T16:00,16:00,True
1,8,356,Fortaleza,315,Chapecoense,3,2,270257,2021-06-30T16:00,16:00,True
2,8,285,Internacional,275,Palmeiras,1,2,270256,2021-06-30T19:00,19:00,True
3,8,265,Bahia,327,América-MG,3,4,270259,2021-06-30T19:00,19:00,True
4,8,277,Santos,292,Sport,0,0,270254,2021-06-30T20:30,20:30,True
5,8,264,Corinthians,276,São Paulo,0,0,270253,2021-06-30T21:30,21:30,True
6,8,286,Juventude,284,Grêmio,2,0,270258,2021-06-30T21:30,21:30,True
7,8,280,Bragantino,354,Ceará,0,0,270260,2021-07-01T16:00,16:00,True
8,8,282,Atlético-MG,373,Atlético-GO,4,1,270255,2021-07-01T19:00,19:00,True
9,8,1371,Cuiabá,262,Flamengo,0,2,270251,2021-07-01T20:00,20:00,True
10,8,293,Athletico-PR,266,Fluminense,4,1,270252,2021-06-30T16:00,16:00,False
11,8,315,Chapecoense,356,Fortaleza,2,3,270257,2021-06-30T16:00,16:00,False
12,8,275,Palmeiras,285,Internacional,2,1,270256,2021-06-30T19:00,19:00,False
13,8,327,América-MG,265,Bahia,4,3,270259,2021-06-30T19:00,19:00,False
14,8,292,Sport,277,Santos,0,0,270254,2021-06-30T20:30,20:30,False
15,8,276,São Paulo,264,Corinthians,0,0,270253,2021-06-30T21:30,21:30,False
16,8,284,Grêmio,286,Juventude,0,2,270258,2021-06-30T21:30,21:30,False
17,8,354,Ceará,280,Bragantino,0,0,270260,2021-07-01T16:00,16:00,False
18,8,373,Atlético-GO,282,Atlético-MG,1,4,270255,2021-07-01T19:00,19:00,False
19,8,262,Flamengo,1371,Cuiabá,2,0,270251,2021-07-01T20:00,20:00,False
