rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
6,262,Flamengo,356,Fortaleza,2,1,270201,2021-06-23T19:00,19:00,True
6,276,São Paulo,1371,Cuiabá,2,2,270203,2021-06-23T19:00,19:00,True
6,280,Bragantino,275,Palmeiras,3,1,270207,2021-06-23T19:00,19:00,True
6,373,Atlético-GO,266,Fluminense,1,0,270210,2021-06-23T19:00,19:00,True
6,327,América-MG,286,Juventude,1,1,270204,2021-06-24T16:00,16:00,True
6,264,Corinthians,292,Sport,2,1,270202,2021-06-24T19:00,19:00,True
6,354,Ceará,282,Atlético-MG,2,1,270206,2021-06-24T19:00,19:00,True
6,315,Chapecoense,285,Internacional,1,2,270209,2021-06-24T19:00,19:00,True
6,284,Grêmio,277,Santos,2,2,270205,2021-06-24T21:30,21:30,True
6,265,Bahia,293,Athletico-PR,2,1,270208,2021-06-24T21:30,21:30,True
6,356,Fortaleza,262,Flamengo,1,2,270201,2021-06-23T19:00,19:00,False
6,1371,Cuiabá,276,São Paulo,2,2,270203,2021-06-23T19:00,19:00,False
6,275,Palmeiras,280,Bragantino,1,3,270207,2021-06-23T19:00,19:00,False
6,266,Fluminense,373,Atlético-GO,0,1,270210,2021-06-23T19:00,19:00,False
6,286,Juventude,327,América-MG,1,1,270204,2021-06-24T16:00,16:00,False
6,292,Sport,264,Corinthians,1,2,270202,2021-06-24T19:00,19:00,False
6,282,Atlético-MG,354,Ceará,1,2,270206,2021-06-24T19:00,19:00,False
6,285,Internacional,315,Chapecoense,2,1,270209,2021-06-24T19:00,19:00,False
6,277,Santos,284,Grêmio,2,2,270205,2021-06-24T21:30,21:30,False
6,293,Athletico-PR,265,Bahia,1,2,270208,2021-06-24T21:30,21:30,False
