,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,16,280,Bragantino,286,Juventude,1,2,270449,2021-08-14T17:00,17:00,True
1,16,282,Atlético-MG,275,Palmeiras,2,0,270445,2021-08-14T19:00,19:00,True
2,16,276,São Paulo,284,Grêmio,2,1,270444,2021-08-14T21:00,21:00,True
3,16,262,Flamengo,292,Sport,2,0,270442,2021-08-15T16:00,16:00,True
4,16,264,Corinthians,354,Ceará,3,1,270443,2021-08-15T16:00,16:00,True
5,16,356,Fortaleza,277,Santos,1,1,270447,2021-08-15T18:15,18:15,True
6,16,265,Bahia,373,Atlético-GO,1,2,270448,2021-08-15T18:15,18:15,True
7,16,1371,Cuiabá,293,Athletico-PR,1,0,270451,2021-08-15T18:15,18:15,True
8,16,285,Internacional,266,Fluminense,4,2,270446,2021-08-15T20:30,20:30,True
9,16,315,Chapecoense,327,América-MG,1,1,270450,2021-08-16T20:00,20:00,True
10,16,286,Juventude,280,Bragantino,2,1,270449,2021-08-14T17:00,17:00,False
11,16,275,Palmeiras,282,Atlético-MG,0,2,270445,2021-08-14T19:00,19:00,False
12,16,284,Grêmio,276,São Paulo,1,2,270444,2021-08-14T21:00,21:00,False
13,16,292,Sport,262,Flamengo,0,2,270442,2021-08-15T16:00,16:00,False
14,16,354,Ceará,264,Corinthians,1,3,270443,2021-08-15T16:00,16:00,False
15,16,277,Santos,356,Fortaleza,1,1,270447,2021-08-15T18:15,18:15,False
16,16,373,Atlético-GO,265,Bahia,2,1,270448,2021-08-15T18:15,18:15,False
17,16,293,Athletico-PR,1371,Cuiabá,0,1,270451,2021-08-15T18:15,18:15,False
18,16,266,Fluminense,285,Internacional,2,4,270446,2021-08-15T20:30,20:30,False
19,16,327,América-MG,315,Chapecoense,1,1,270450,2021-08-16T20:00,20:00,False
