,rodada,clube_id,clube_nome,aversario_id,aversario_nome,gols_pro,gols_contra,jogo_id,data_realizacao,hora_realizacao,mandante
0,5,262,Flamengo,280,Bragantino,2,3,270191,2021-06-19T21:00,21:00,True
1,5,275,Palmeiras,327,América-MG,2,1,270192,2021-06-20T11:00,11:00,True
2,5,285,Internacional,354,Ceará,1,1,270195,2021-06-20T16:00,16:00,True
3,5,265,Bahia,264,Corinthians,0,0,270197,2021-06-20T16:00,16:00,True
4,5,277,Santos,276,São Paulo,2,0,270193,2021-06-20T18:15,18:15,True
5,5,356,Fortaleza,266,Fluminense,1,1,270196,2021-06-20T18:15,18:15,True
6,5,293,Athletico-PR,373,Atlético-GO,2,1,270198,2021-06-20T18:15,18:15,True
7,5,286,Juventude,292,Sport,1,0,270200,2021-06-20T20:30,20:30,True
8,5,282,Atlético-MG,315,Chapecoense,1,1,270194,2021-06-21T20:00,20:00,True
9,5,1371,Cuiabá,284,Grêmio,0,1,270199,2021-08-18T19:00,19:00,True
10,5,280,Bragantino,262,Flamengo,3,2,270191,2021-06-19T21:00,21:00,False
11,5,327,América-MG,275,Palmeiras,1,2,270192,2021-06-20T11:00,11:00,False
12,5,354,Ceará,285,Internacional,1,1,270195,2021-06-20T16:00,16:00,False
13,5,264,Corinthians,265,Bahia,0,0,270197,2021-06-20T16:00,16:00,False
14,5,276,São Paulo,277,Santos,0,2,270193,2021-06-20T18:15,18:15,False
15,5,266,Fluminense,356,Fortaleza,1,1,270196,2021-06-20T18:15,18:15,False
16,5,373,Atlético-GO,293,Athletico-PR,1,2,270198,2021-06-20T18:15,18:15,False
17,5,292,Sport,286,Juventude,0,1,270200,2021-06-20T20:30,20:30,False
18,5,315,Chapecoense,282,Atlético-MG,1,1,270194,2021-06-21T20:00,20:00,False
19,5,284,Grêmio,1371,Cuiabá,1,0,270199,2021-08-18T19:00,19:00,False
