,rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,FC,FS,PI,FF,A,DS,DE,GS,FD,SG,CA,FT,G,PC,PS,PP,I,DP,clube_nome,posicao_nome,posicao_abreviacao
0,11,Zaracho,100079,4,282,True,6.2,3,2,5,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
1,11,Igor Gomes,100084,4,276,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
2,11,Pedrinho,100103,5,280,True,0.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bragantino,Atacante,ata
3,11,Yuri Alberto,100652,5,285,True,4.0,3,0,7,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,Internacional,Atacante,ata
4,11,Liziero,100761,4,276,True,12.5,0,2,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,São Paulo,Meia,mei
5,11,Gabriel Sara,100763,4,276,True,1.3,1,1,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Meia,mei
6,11,Lucas Araújo,100844,4,265,True,-0.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
7,11,Ronald,100969,4,356,True,9.9,1,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,Meia,mei
8,11,Felipe Marques,101054,5,1371,True,0.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
9,11,Umberto Louzer,101077,6,292,True,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Técnico,tec
10,11,Ferreira,101290,5,284,True,4.5,0,3,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,Grêmio,Atacante,ata
11,11,Guga,101319,2,282,True,5.7,2,2,13,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Atlético-MG,Lateral,lat
12,11,Danilo Boza,101431,3,277,True,-0.7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Zagueiro,zag
13,11,Thonny Anderson,101484,4,265,True,-0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Meia,mei
14,11,Pepê,101573,4,1371,True,-0.1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
15,11,Alerrandro,101715,5,280,True,9.7,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Bragantino,Atacante,ata
16,11,Matheuzinho,101727,2,262,True,0.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Flamengo,Lateral,lat
17,11,Diego,101728,3,276,True,7.6,1,0,9,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,São Paulo,Zagueiro,zag
18,11,Fabinho,101729,5,315,True,3.5,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
19,11,Guilherme Castilho,101798,4,286,True,1.9,3,2,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
20,11,Vitinho,101960,5,293,True,6.8,2,2,14,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,Athlético-PR,Atacante,ata
21,11,Marquinhos,102292,5,264,True,-1.2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Corinthians,Atacante,ata
22,11,Mikael,102299,5,292,True,-0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Atacante,ata
23,11,Araos,102352,4,264,True,0.7,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
24,11,Kaio Nunes,102563,5,315,True,2.4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
25,11,Helinho,102598,5,280,True,-0.9,2,2,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bragantino,Atacante,ata
26,11,Terans,102878,4,293,True,17.2,1,4,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,Athlético-PR,Meia,mei
27,11,Matheus Teixeira,102907,1,265,True,4.0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,Bahia,Goleiro,gol
28,11,Eric Ramires,103295,4,280,True,0.5,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,Meia,mei
29,11,Ignácio,103523,3,315,True,0.9,2,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Zagueiro,zag
30,11,Jadsom Silva,103695,4,280,True,-1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Bragantino,Meia,mei
31,11,Bruno Méndez,103700,3,285,True,2.7,1,0,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Internacional,Zagueiro,zag
32,11,Neto,103706,4,282,True,-1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,Meia,mei
33,11,Hernán Crespo,103912,6,276,True,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Técnico,tec
34,11,Sabino,104075,3,292,True,0.4,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sport,Zagueiro,zag
35,11,João Victor,104250,3,264,True,0.3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Zagueiro,zag
36,11,João Lucas,104257,2,1371,True,-0.6,2,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Lateral,lat
